line_ref,record_count,unique_segments,unique_vehicle_journeys,average_runtime_minutes,median_runtime_minutes,standard_deviation_minutes,minimum_runtime_minutes,maximum_runtime_minutes,high_duration_records,high_duration_percentage
SCEK:PK0000098:78:919,107,105,2,1.5421,1.0,1.1433,1.0,10.0,6,5.6075
SCEK:PK0000098:410:85,92,23,8,1.5217,1.0,0.7183,1.0,3.0,0,0.0
SCEK:PK0000098:59:18A,91,91,2,1.9011,1.0,1.4686,1.0,10.0,10,10.989
SCEK:PK0000098:78:912,90,90,2,1.5,1.0,0.951,1.0,5.0,7,7.7778
SCEK:PK0000098:378:384,89,89,2,1.7303,1.0,1.0419,1.0,6.0,5,5.618
SCEK:PK0000098:143:914,89,89,2,1.8427,1.0,1.296,1.0,7.0,9,10.1124
SCEK:PK0000098:77:906,88,88,2,1.5,1.0,1.2224,1.0,10.0,4,4.5455
SCEK:PK0000098:77:904,87,87,2,1.4943,1.0,1.2838,1.0,9.0,3,3.4483
SCEK:PK0000098:78:911,87,87,2,1.6207,1.0,1.0592,1.0,5.0,7,8.046
SCEK:PK0000098:77:903,87,87,2,1.5057,1.0,1.4214,1.0,9.0,4,4.5977
SCEK:PK0000098:285:70,85,85,2,1.5412,1.0,0.8388,1.0,5.0,4,4.7059
SCEK:PK0000098:428:94A,85,47,5,1.8235,1.0,1.6845,1.0,8.0,9,10.5882
SCEK:PK0000098:426:88A,84,78,3,1.7619,1.0,1.4195,1.0,11.0,7,8.3333
SCEK:PK0000098:20:942,81,71,2,1.7901,1.0,1.5142,1.0,10.0,6,7.4074
SCEK:PK0000098:379:73,80,79,2,1.325,1.0,0.5687,1.0,4.0,1,1.25
SCEK:PK0000098:266:59,79,79,2,1.4304,1.0,0.6341,1.0,4.0,1,1.2658
SCEK:PK0000098:400:983,78,76,2,1.6923,1.0,1.3024,1.0,8.0,5,6.4103
SCEK:PK0000098:395:964,77,77,2,1.6753,1.0,0.9657,1.0,5.0,5,6.4935
SCEK:PK0000098:447:251,74,74,2,2.0135,1.0,1.4571,1.0,10.0,9,12.1622
SCEK:PK0000098:382:921,73,73,2,1.3699,1.0,0.6771,1.0,5.0,1,1.3699
SCEK:PK0000098:357:57,72,69,2,1.4583,1.0,0.67,1.0,3.0,0,0.0
SCEK:PK0000098:450:81A,72,70,2,1.4583,1.0,0.9335,1.0,6.0,4,5.5556
SCEK:PK0000098:230:960,70,62,3,1.7714,1.0,1.9048,1.0,14.0,6,8.5714
SCEK:PK0000098:143:915,69,69,2,1.8406,2.0,1.0795,1.0,5.0,7,10.1449
SCEK:PK0000098:426:88,69,69,2,2.1449,1.0,2.0239,1.0,9.0,12,17.3913
SCEK:PK0000098:77:905,68,68,2,1.5882,1.0,1.5857,1.0,10.0,5,7.3529
SCEK:PK0000098:288:74,67,65,2,1.5672,1.0,0.7828,1.0,4.0,2,2.9851
SCEK:PK0000098:214:969,67,58,2,1.6716,1.0,1.3859,1.0,8.0,8,11.9403
SCEK:PK0000098:301:27,66,7,10,1.6667,1.0,0.8829,1.0,3.0,0,0.0
SCEK:PK0000098:391:963,65,43,3,1.9692,2.0,0.9995,1.0,5.0,3,4.6154
SCEK:PK0000098:410:84,65,13,5,1.3846,1.0,0.6298,1.0,3.0,0,0.0
SCEK:PK0000098:390:962,61,39,3,1.918,2.0,1.0375,1.0,6.0,4,6.5574
SCEK:PK0000098:354:313U,60,24,5,1.9,1.0,1.0846,1.0,4.0,8,13.3333
SCEK:PK0000098:143:916,59,58,2,2.1356,2.0,1.3191,1.0,6.0,8,13.5593
SCEK:PK0000098:296:359,59,59,2,1.8644,1.0,1.7952,1.0,11.0,4,6.7797
SCEK:PK0000098:456:1066,59,59,2,1.7966,2.0,0.783,1.0,4.0,2,3.3898
SCEK:PK0000098:307:968,55,47,2,1.8182,1.0,1.733,1.0,10.0,6,10.9091
SCEK:PK0000098:149:932,54,46,2,1.4444,1.0,0.6344,1.0,4.0,1,1.8519
SCEK:PK0000098:396:965,54,51,2,1.8889,1.0,1.3963,1.0,8.0,6,11.1111
SCEK:PK0000098:78:908,53,53,1,1.6038,1.0,1.0979,1.0,6.0,3,5.6604
SCEK:PK0000098:410:82A,50,49,2,1.46,1.0,0.706,1.0,4.0,1,2.0
SCEK:PK0000098:125:967,49,49,2,1.6327,1.0,0.9059,1.0,4.0,3,6.1224
SCEK:PK0000098:412:976,45,45,2,2.4889,2.0,2.4367,1.0,12.0,8,17.7778
SCEK:PK0000098:30:1,45,45,1,1.9778,2.0,1.2879,1.0,6.0,7,15.5556
SCEK:PK0000098:24:946,44,44,1,1.4091,1.0,0.5834,1.0,3.0,0,0.0
SCEK:PK0000098:269:6A,44,22,2,2.1136,1.0,2.1044,1.0,12.0,5,11.3636
SCEK:PK0000098:145:991,42,40,1,1.7381,1.0,1.2109,1.0,7.0,3,7.1429
SCEK:PK0000098:73:913,42,42,1,1.9524,1.0,1.9248,1.0,11.0,6,14.2857
SCEK:PK0000098:409:96,42,42,2,3.0,2.0,2.6133,1.0,13.0,12,28.5714
SCEK:PK0000098:261:956,41,37,2,1.8537,2.0,0.8821,1.0,4.0,4,9.7561
SCEK:PK0000098:450:81B,41,41,1,1.561,1.0,1.2052,1.0,6.0,4,9.7561
SCEK:PK0000098:417:972,40,40,1,1.35,1.0,0.7355,1.0,4.0,1,2.5
SCEK:PK0000098:371:48A,40,33,2,1.675,1.0,1.5256,1.0,9.0,3,7.5
SCEK:PK0000098:416:971,39,39,1,1.6154,1.0,1.3102,1.0,7.0,2,5.1282
SCEK:PK0000098:281:323B,38,38,1,1.6053,1.0,1.1517,1.0,7.0,2,5.2632
SCEK:PK0000098:20:944,36,36,1,1.8056,1.0,1.4106,1.0,7.0,4,11.1111
SCEK:PK0000098:344:43A,35,35,1,1.3429,1.0,0.8023,1.0,4.0,2,5.7143
SCEK:PK0000098:449:96A,33,28,2,1.9091,1.0,2.4156,1.0,14.0,4,12.1212
SCEK:PK0000098:400:981,32,32,2,2.5625,2.0,2.7584,1.0,14.0,5,15.625
SCEK:PK0000098:45:95,30,24,2,2.4667,1.0,3.4314,1.0,16.0,4,13.3333
SCEK:PK0000098:86:951,30,12,5,2.5,2.0,0.9738,1.0,4.0,5,16.6667
SCEK:PK0000098:218:653,29,29,2,2.6552,2.0,1.6749,1.0,6.0,8,27.5862
SCEK:PK0000098:404:58,27,27,2,1.9259,1.0,2.3026,1.0,13.0,1,3.7037
SCEK:PK0000098:274:322A,26,26,1,1.4231,1.0,0.9021,1.0,4.0,2,7.6923
SCEK:PK0000098:369:45A,25,25,1,1.6,1.0,1.472,1.0,8.0,1,4.0
SCEK:PK0000098:417:974,23,23,1,1.3478,1.0,0.9346,1.0,5.0,1,4.3478
SCEK:PK0000098:400:980,23,23,1,2.2174,1.0,2.0661,1.0,8.0,4,17.3913
SCEK:PK0000098:417:975,23,23,1,1.4348,1.0,0.7878,1.0,3.0,0,0.0
SCEK:PK0000098:88:955,22,13,3,1.5909,1.0,1.0075,1.0,5.0,1,4.5455
SCEK:PK0000098:313:19,21,21,1,1.2857,1.0,0.6437,1.0,3.0,0,0.0
SCEK:PK0000098:400:982,21,21,1,3.0952,1.0,6.1311,1.0,29.0,2,9.5238
SCEK:PK0000098:84:953,16,8,4,2.5,2.0,1.3663,1.0,5.0,4,25.0
SCEK:PK0000098:87:954,15,15,2,1.8667,2.0,0.6399,1.0,3.0,0,0.0
SCEK:PK0000098:417:973,15,15,1,1.4,1.0,0.5071,1.0,2.0,0,0.0
SCEK:PK0000098:377:320,15,15,2,2.1333,2.0,1.2459,1.0,4.0,4,26.6667
SCEK:PK0000098:112:966,11,11,1,1.8182,1.0,1.5374,1.0,6.0,1,9.0909
SCEK:PK0000098:345:80B,4,4,1,5.75,4.0,3.304,2.0,9.0,3,75.0
