metric,value
timetable_stop_references,5143
atco_area_codes_requested,2
atco_area_code_list,140|240
total_naptan_rows_downloaded,13372
matched_stop_references,5143
unmatched_stop_references,0
matched_stop_percentage,100.0
matched_stops_with_coordinates,5143
coordinate_coverage_percentage,100.0
