line_ref,vehicle_journey_code,departure_time,from_stop_ref,origin_stop_name,origin_latitude,origin_longitude,to_stop_ref,destination_stop_name,destination_latitude,destination_longitude,distance_km,distance_metres,distance_band,sequence_gap,runtime_minutes
SCEK:PK0000098:332:401,VJ741,16:41:00,2400A050270A,Innovation Centre,51.2923204,1.0660148,2400A050300A,Keynes College,51.2946568,1.0660988,0.2598618351169828,259.86,0.25-0.50 km,1,1.0
SCEK:PK0000098:15:102,VJ394,15:21:00,2400A025050A,The Fairway,51.015749,0.985909,2400A025030A,High Knock,51.021382,0.99175,0.7478381780819781,747.84,0.50-1.00 km,1,2.0
SCEK:PK0000098:434:105,VJ1098,08:38:00,240097050,Joyes Road,51.089846,1.18944,240099303,Stanbury Crescent Top,51.0932112,1.193029,0.45038625379111585,450.39,0.25-0.50 km,1,2.0
SCEK:PK0000098:407:1066,VJ940,12:34:00,1400RR0329,Royal George,51.0171147,0.4708626,1400RR84143,Silver Hill Farm,51.0076292,0.4753907,1.1012846641611005,1101.28,1.00-2.00 km,1,1.0
SCEK:PK0000098:279:99,VJ817,08:10:00,1400EB10001,St Aubyn's Road,50.7715188,0.2968112,1400EB0228,Cambridge Road,50.7735073,0.2990504,0.27144796368202134,271.45,0.25-0.50 km,1,1.0
SCEK:PK0000098:262:1,VJ183,13:07:00,1400EB0014,Motcombe Road,50.7740401,0.2607649,1400EB0012,Greenfield Road,50.7726694,0.2618761,0.17127730623007983,171.28,Under 0.25 km,1,1.0
SCEK:PK0000098:325:329,VJ760,12:39:00,1400HA0452,St Anne's House,50.8879875,0.5634152,1400HA0453,Conquest Hospital,50.8862489,0.5680404,0.37767613823243107,377.68,0.25-0.50 km,1,1.0
SCEK:PK0000098:28:71,VJ68,20:16:00,2400A028880A,Folkestone Central Railway Station,51.0822483,1.1714952,2400A028890A,Connaught Road,51.081048,1.174954,0.2760247077261717,276.02,0.25-0.50 km,1,1.0
SCEK:PK0000098:146:LOOP,VJ1049,08:20:00,2400A045050A,Mayville Road,51.3694051,1.4229476,2400A046860A,Railway Bridge,51.3677181,1.4234253,0.1904947751726584,190.49,Under 0.25 km,1,1.0
SCEK:PK0000098:279:99,VJ848,13:30:00,1400RR0041,Wheatsheaf,50.8453818,0.4336618,1400RR0036,Howards Crescent,50.8447506,0.429424,0.3057051638183356,305.71,0.25-0.50 km,1,1.0
SCEK:PK0000098:279:99,VJ950,16:15:00,1400RR0386,Coneyburrow Lane,50.8452594,0.4109682,1400RR0033,Sandhurst Lane,50.8448419,0.4189731,0.56394427936689,563.94,0.50-1.00 km,1,2.0
