rank,feature_name,importance
101,line_ref_encoded_SCEK:PK0000098:343:69,0.0
102,line_ref_encoded_SCEK:PK0000098:284:100,0.0
103,line_ref_encoded_SCEK:PK0000098:429:53,0.0
104,line_ref_encoded_SCEK:PK0000098:281:323,0.0
105,line_ref_encoded_SCEK:PK0000098:28:71A,0.0
106,line_ref_encoded_SCEK:PK0000098:1:21A,0.0
107,line_ref_encoded_SCEK:PK0000098:403:8,0.0
108,line_ref_encoded_SCEK:PK0000098:324:101,0.0
109,line_ref_encoded_SCEK:PK0000098:407:1066,0.0
110,line_ref_encoded_SCEK:PK0000098:269:6,0.0
111,line_ref_encoded_SCEK:PK0000098:26:32,0.0
112,line_ref_encoded_SCEK:PK0000098:1:21,0.0
113,line_ref_encoded_SCEK:PK0000098:326:UNI2,0.0
114,line_ref_encoded_SCEK:PK0000098:280:328,0.0
115,line_ref_encoded_SCEK:PK0000098:263:3,0.0
116,line_ref_encoded_SCEK:PK0000098:445:7,0.0
117,line_ref_encoded_SCEK:PK0000098:325:329A,0.0
118,line_ref_encoded_SCEK:PK0000098:39:63,0.0
119,line_ref_encoded_SCEK:PK0000098:30:1X,0.0
120,line_ref_encoded_SCEK:PK0000098:341:5,0.0
121,line_ref_encoded_SCEK:PK0000098:6:89,0.0
122,line_ref_encoded_SCEK:PK0000098:374:95,0.0
123,line_ref_encoded_SCEK:PK0000098:279:99E,0.0
124,line_ref_encoded_SCEK:PK0000098:440:507,0.0
125,line_ref_encoded_SCEK:PK0000098:369:45,0.0
126,line_ref_encoded_SCEK:PK0000098:442:2A,0.0
127,line_ref_encoded_SCEK:PK0000098:274:322C,0.0
128,line_ref_encoded_SCEK:PK0000098:453:92,0.0
129,line_ref_encoded_SCEK:PK0000098:181:91,0.0
130,line_ref_encoded_SCEK:PK0000098:30:24,0.0
131,line_ref_encoded_SCEK:PK0000098:392:BK1,0.0
132,line_ref_encoded_SCEK:PK0000098:354:313,0.0
133,line_ref_encoded_SCEK:PK0000098:370:48,0.0
134,line_ref_encoded_SCEK:PK0000098:306:AIR,0.0
135,line_ref_encoded_SCEK:PK0000098:441:2,0.0
136,line_ref_encoded_SCEK:PK0000098:402:4,0.0
137,line_ref_encoded_SCEK:PK0000098:385:93,0.0
138,line_ref_encoded_SCEK:PK0000098:137:5A,0.0
139,line_ref_encoded_SCEK:PK0000098:428:94,0.0
140,line_ref_encoded_SCEK:PK0000098:263:3A,0.0
141,line_ref_encoded_SCEK:PK0000098:188:73,0.0
142,line_ref_encoded_SCEK:PK0000098:236:23A,0.0
143,line_ref_encoded_SCEK:PK0000098:91:9,0.0
144,line_ref_encoded_SCEK:PK0000098:420:113,0.0
145,line_ref_encoded_SCEK:PK0000098:375:96,0.0
146,line_ref_encoded_SCEK:PK0000098:30:1A,0.0
147,line_ref_encoded_SCEK:PK0000098:415:80A,0.0
148,line_ref_encoded_SCEK:PK0000098:401:74,0.0
149,line_ref_encoded_SCEK:PK0000098:212:511A,0.0
150,line_ref_encoded_SCEK:PK0000098:283:347,0.0
151,line_ref_encoded_SCEK:PK0000098:410:82,0.0
152,line_ref_encoded_SCEK:PK0000098:334:603,0.0
153,line_ref_encoded_SCEK:PK0000098:300:7,0.0
154,line_ref_encoded_SCEK:PK0000098:376:97,0.0
155,line_ref_encoded_SCEK:PK0000098:397:11,0.0
156,line_ref_encoded_SCEK:PK0000098:421:525,0.0
157,line_ref_encoded_SCEK:PK0000098:91:9X,0.0
158,line_ref_encoded_SCEK:PK0000098:451:925,0.0
159,line_ref_encoded_SCEK:PK0000098:212:511B,0.0
160,line_ref_encoded_SCEK:PK0000098:424:970,0.0
161,line_ref_encoded_SCEK:PK0000098:443:514,0.0
162,line_ref_encoded_SCEK:PK0000098:286:977,0.0
163,line_ref_encoded_SCEK:PK0000098:78:919,0.0
164,line_ref_encoded_SCEK:PK0000098:215:917,0.0
165,line_ref_encoded_SCEK:PK0000098:410:85,0.0
166,line_ref_encoded_SCEK:PK0000098:78:911,0.0
167,line_ref_encoded_SCEK:PK0000098:78:912,0.0
168,line_ref_encoded_SCEK:PK0000098:59:18A,0.0
169,line_ref_encoded_SCEK:PK0000098:77:904,0.0
170,line_ref_encoded_SCEK:PK0000098:77:906,0.0
171,line_ref_encoded_SCEK:PK0000098:428:94A,0.0
172,line_ref_encoded_SCEK:PK0000098:77:903,0.0
173,line_ref_encoded_SCEK:PK0000098:143:914,0.0
174,line_ref_encoded_SCEK:PK0000098:378:384,0.0
175,line_ref_encoded_SCEK:PK0000098:379:73,0.0
176,line_ref_encoded_SCEK:PK0000098:400:983,0.0
177,line_ref_encoded_SCEK:PK0000098:285:70,0.0
178,line_ref_encoded_SCEK:PK0000098:395:964,0.0
179,line_ref_encoded_SCEK:PK0000098:20:942,0.0
180,line_ref_encoded_SCEK:PK0000098:382:921,0.0
181,line_ref_encoded_SCEK:PK0000098:426:88A,0.0
182,line_ref_encoded_SCEK:PK0000098:447:251,0.0
183,line_ref_encoded_SCEK:PK0000098:357:57,0.0
184,line_ref_encoded_SCEK:PK0000098:143:915,0.0
185,line_ref_encoded_SCEK:PK0000098:230:960,0.0
186,line_ref_encoded_SCEK:PK0000098:77:905,0.0
187,line_ref_encoded_SCEK:PK0000098:288:74,0.0
188,line_ref_encoded_SCEK:PK0000098:426:88,0.0
189,line_ref_encoded_SCEK:PK0000098:450:81A,0.0
190,line_ref_encoded_SCEK:PK0000098:266:59,0.0
191,line_ref_encoded_SCEK:PK0000098:354:313U,0.0
192,line_ref_encoded_SCEK:PK0000098:214:969,0.0
193,line_ref_encoded_SCEK:PK0000098:391:963,0.0
194,line_ref_encoded_SCEK:PK0000098:390:962,0.0
195,line_ref_encoded_SCEK:PK0000098:456:1066,0.0
196,line_ref_encoded_SCEK:PK0000098:143:916,0.0
197,line_ref_encoded_SCEK:PK0000098:307:968,0.0
198,line_ref_encoded_SCEK:PK0000098:78:908,0.0
199,line_ref_encoded_SCEK:PK0000098:301:27,0.0
200,line_ref_encoded_SCEK:PK0000098:149:932,0.0
201,line_ref_encoded_SCEK:PK0000098:296:359,0.0
202,line_ref_encoded_SCEK:PK0000098:410:82A,0.0
203,line_ref_encoded_SCEK:PK0000098:269:6A,0.0
204,line_ref_encoded_SCEK:PK0000098:410:84,0.0
205,line_ref_encoded_SCEK:PK0000098:261:956,0.0
206,line_ref_encoded_SCEK:PK0000098:396:965,0.0
207,line_ref_encoded_SCEK:PK0000098:412:976,0.0
208,line_ref_encoded_SCEK:PK0000098:125:967,0.0
209,line_ref_encoded_SCEK:PK0000098:24:946,0.0
210,line_ref_encoded_SCEK:PK0000098:30:1,0.0
211,line_ref_encoded_SCEK:PK0000098:73:913,0.0
212,line_ref_encoded_SCEK:PK0000098:371:48A,0.0
213,line_ref_encoded_SCEK:PK0000098:416:971,0.0
214,line_ref_encoded_SCEK:PK0000098:145:991,0.0
215,line_ref_encoded_SCEK:PK0000098:409:96,0.0
216,line_ref_encoded_SCEK:PK0000098:450:81B,0.0
217,line_ref_encoded_SCEK:PK0000098:449:96A,0.0
218,line_ref_encoded_SCEK:PK0000098:417:972,0.0
219,line_ref_encoded_SCEK:PK0000098:281:323B,0.0
220,line_ref_encoded_SCEK:PK0000098:20:944,0.0
221,line_ref_encoded_SCEK:PK0000098:344:43A,0.0
222,line_ref_encoded_SCEK:PK0000098:400:981,0.0
223,line_ref_encoded_SCEK:PK0000098:86:951,0.0
224,line_ref_encoded_SCEK:PK0000098:45:95,0.0
225,line_ref_encoded_SCEK:PK0000098:218:653,0.0
226,line_ref_encoded_SCEK:PK0000098:274:322A,0.0
227,line_ref_encoded_SCEK:PK0000098:369:45A,0.0
228,line_ref_encoded_SCEK:PK0000098:417:974,0.0
229,line_ref_encoded_SCEK:PK0000098:400:980,0.0
230,line_ref_encoded_SCEK:PK0000098:88:955,0.0
231,line_ref_encoded_SCEK:PK0000098:417:975,0.0
232,line_ref_encoded_SCEK:PK0000098:313:19,0.0
233,line_ref_encoded_SCEK:PK0000098:417:973,0.0
234,line_ref_encoded_SCEK:PK0000098:87:954,0.0
235,line_ref_encoded_SCEK:PK0000098:377:320,0.0
236,line_ref_encoded_SCEK:PK0000098:84:953,0.0
237,line_ref_encoded_SCEK:PK0000098:112:966,0.0
238,line_ref_encoded___unknown,0.0
239,time_of_day_encoded___unknown,0.0
240,distance_band_encoded_Under 0.25 km,0.0
241,distance_band_encoded___unknown,0.0
242,from_timing_status_encoded___unknown,0.0
243,to_timing_status_encoded___unknown,0.0
244,from_activity_encoded_setDown,0.0
245,from_activity_encoded___unknown,0.0
246,to_activity_encoded___unknown,0.0
247,origin_stop_type_encoded_BCS,0.0
248,origin_stop_type_encoded___unknown,0.0
249,destination_stop_type_encoded_BCQ,0.0
250,destination_stop_type_encoded_BCS,0.0
251,destination_stop_type_encoded___unknown,0.0
