period_type,record_count,average_runtime_minutes,median_runtime_minutes,standard_deviation_minutes,high_duration_records,high_duration_percentage
Peak,149104,1.5006,1.0,1.0315,6492,4.354
Off-peak,226564,1.4715,1.0,0.9966,8937,3.9446
