metric,value
record_count,375668
mean_runtime_minutes,1.4831
median_runtime_minutes,1.0
standard_deviation_minutes,1.0107
runtime_skewness,4.2047
runtime_kurtosis,32.271
minimum_runtime_minutes,1.0
first_quartile_minutes,1.0
third_quartile_minutes,2.0
percentile_95_minutes,3.0
percentile_99_minutes,6.0
maximum_runtime_minutes,29.0
high_duration_records,15429
high_duration_percentage,4.1071
unique_service_lines,207
unique_segments,5821
unique_vehicle_journeys,15221
